,value,definition,codesystem,code,iri
13686,obsolete Elevated circulating palmitoleylcarnitine concentration,,HP,HP:0033463,http://purl.obolibrary.org/obo/HP_0033463
13687,Elevated circulating 3-hydroxypalmitoleylcarnitine concentration,Increased concentration of 3-hydroxypalmitoleylcarnitine in the blood circulation.,HP,HP:0033464,http://purl.obolibrary.org/obo/HP_0033464
13688,Elevated circulating tetradecanolycarnitine concentration,Elevated circulating tetradecanoyl concentration.,HP,HP:0033465,http://purl.obolibrary.org/obo/HP_0033465
13689,Weak grip,Reduced grip strength. Gripping is the motion by which the hand tightly grasps an object or other hand.,HP,HP:0033466,http://purl.obolibrary.org/obo/HP_0033466
13690,Low 10-minute APGAR score,A normal APGAR score can be coded as 'not Low 10-minute APGAR score'.,HP,HP:0033467,http://purl.obolibrary.org/obo/HP_0033467
13691,10-minute APGAR score of 0,,HP,HP:0033468,http://purl.obolibrary.org/obo/HP_0033468
13692,10-minute APGAR score of 1,,HP,HP:0033469,http://purl.obolibrary.org/obo/HP_0033469
13693,10-minute APGAR score of 2,,HP,HP:0033470,http://purl.obolibrary.org/obo/HP_0033470
13694,10-minute APGAR score of 3,,HP,HP:0033471,http://purl.obolibrary.org/obo/HP_0033471
13695,10-minute APGAR score of 4,,HP,HP:0033472,http://purl.obolibrary.org/obo/HP_0033472
13696,10-minute APGAR score of 5,,HP,HP:0033473,http://purl.obolibrary.org/obo/HP_0033473
13697,10-minute APGAR score of 6,,HP,HP:0033474,http://purl.obolibrary.org/obo/HP_0033474
13698,Limited shoulder abduction,Decreased ability to move the arm away from the midline of the body.,HP,HP:0033475,http://purl.obolibrary.org/obo/HP_0033475
13699,Extractable nuclear antigen positivity,The presence of autoantibodies in the serum that react against extractable nuclear components that are referred to as extractable because they can be extracted from cell nuclei with saline solution.,HP,HP:0033476,http://purl.obolibrary.org/obo/HP_0033476
13700,Abnormal circulating lipoprotein lipase concentration,A deviation from the normal concentration of lipoprotein lipase in the blood circulation.,HP,HP:0033477,http://purl.obolibrary.org/obo/HP_0033477
13701,Increased circulating lipoprotein lipase concentration,Increased concentration of lipoprotein lipase in the blood circulation.,HP,HP:0033478,http://purl.obolibrary.org/obo/HP_0033478
13702,Abnormal circulating bilirubin concentration,,HP,HP:0033479,http://purl.obolibrary.org/obo/HP_0033479
13703,Hypobilirubinemia,Decreased circulation of bilirubin in the blood circulation.,HP,HP:0033480,http://purl.obolibrary.org/obo/HP_0033480
13704,Limited lateral neck flexion,Reduced range of motion resulting in decreased ability to move the ear toward the top of the shoulder.,HP,HP:0033481,http://purl.obolibrary.org/obo/HP_0033481
13705,Limited shoulder flexion,A reduced ability to flex the shoulder. Shoulder flexion is the motion that moves the arms from a resting position by the side of the body to a position above the head.,HP,HP:0033482,http://purl.obolibrary.org/obo/HP_0033482
13706,Podocyte infolding,Folding of cytoplasmic processes of podocytes into the glomerular basement membrane (GBM) with thickening of the lamina densa and microspheres and/or microtubular structures within the GBM.,HP,HP:0033483,http://purl.obolibrary.org/obo/HP_0033483
13707,Elevated circulating linoleylcarnitine concentration,Increased concentration of linoleylcarnitine in the blood circulation.,HP,HP:0033484,http://purl.obolibrary.org/obo/HP_0033484
13708,Glomerular basement membrane disruption,A point of rupture in the glomerular basement membrane (GBM) where the discontinuous portions of GBM are still identifiable with a basement membrane stain such as Periodic acid Schiff (PAS) or silver.,HP,HP:0033485,http://purl.obolibrary.org/obo/HP_0033485
13709,Abnormal glomerular basement membrane texture,Anomalous appearance or structure of the surface of the glomerular basement membrane.,HP,HP:0033486,http://purl.obolibrary.org/obo/HP_0033486
13710,Glomerular basement membranes powdery deposit,Punctate electron-dense material typically in a band-like distribution along the lamina rara interna and within tubular basement membranes within the subendothelial aspect of the glomerular basement membrane.,HP,HP:0033487,http://purl.obolibrary.org/obo/HP_0033487
13711,Glomerular endocapillary leukocyte hypercellularity,"Increased number of leukocytes internal to the glomerular basement membrane (GBM), but not limited to within glomerular capillaries.",HP,HP:0033488,http://purl.obolibrary.org/obo/HP_0033488
13712,Glomerular endocapillary neutrophil hypercellularity,"Increased number of neutrophils internal to the glomerular basement membrane (GBM), but not limited to within glomerular capillaries.",HP,HP:0033489,http://purl.obolibrary.org/obo/HP_0033489
13713,Glomerular endocapillary foam-cell hypercellularity,"Presence of lipid-filled cells, often a macrophage, with a vacuolated appearance in the glomerulus often occupying the endocapillary space.",HP,HP:0033490,http://purl.obolibrary.org/obo/HP_0033490
13714,Global mesangial sclerosis,A generalized global (over 80%) increase of mesangial matrix that is present throughout the mesangial stalk (with or without associated mesangial hypercellularity).,HP,HP:0033491,http://purl.obolibrary.org/obo/HP_0033491
13715,Podocyte cytoskeletal condensation,"Reorganization of podocyte cytoskeletal proteins at the glomerular basement membrane (GBM) aspect of the cell, with associated cytoplasmic electron density at the GBM aspect of the podocyte.",HP,HP:0033492,http://purl.obolibrary.org/obo/HP_0033492
13716,Mesangial matrix expansion,"Increased mesangial extracellular material with interspace width of over 2 mesangial cell nuclei, in one or more peripheral mesangial areas.",HP,HP:0033493,http://purl.obolibrary.org/obo/HP_0033493
13717,Glomerular basement membrane amyloid spicule,"Amyloid spicules are projections of typically silver-positive material from the outer aspect of the glomerular capillary wall, perpendicular to the glomerular basement membrane (GBM), most often caused by amyloidosis with the latter confirmed by additional stains.",HP,HP:0033494,http://purl.obolibrary.org/obo/HP_0033494
13718,Segmental glomerulosclerosis,"Segmental solidification of the glomerular tuft by increased extracellular matrix, causing glomerular capillary obliteration and can include hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells, podocyte depletion, halo and adhesion of the tuft to the Bowman capsule.",HP,HP:0033495,http://purl.obolibrary.org/obo/HP_0033495
13719,Perihilar segmental glomerulosclerosis,"Segmental solidification of the glomerular tuft by increased extracellular matrix, causing glomerular capillary obliteration is present at the vascular pole, involving less than 50% of the tuft. It can be accompanied by other descriptors such as hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells, podocyte depletion, halo and adhesion of the tuft to the Bowman's capsule.",HP,HP:0033496,http://purl.obolibrary.org/obo/HP_0033496
13720,Tip variant segmental glomerulosclerosis,"Segmental solidification of the glomerular tuft characterized by an adhesion at the tip of the glomerular tuft abutting the proximal tubular taek-off can be accompanied by increased extracellular matrix, causing glomerular capillary obliteration at the glomerular tip. Features including hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells can also be observed.",HP,HP:0033497,http://purl.obolibrary.org/obo/HP_0033497
13721,Segmental glomerulosclerosis away from the vascular and tubular poles,"Segmental solidification of the glomerular tuft characterized by increased extracellular matrix, causing glomerular capillary obliteration at neirhter the tubular or vascular poles. Features including hyalinosis, foam cells, hypertrophy of overlying glomerular epithelial cells can also be observed.",HP,HP:0033498,http://purl.obolibrary.org/obo/HP_0033498
13722,Glomerular basement membrane electron dense deposits,Electron-dense deposits in the lamina densa with a ribbon or a sausage structure.,HP,HP:0033499,http://purl.obolibrary.org/obo/HP_0033499
13723,Subendothelial glomerular basement membrane electron dense deposits,Electron dense deposits in the glomerular basement membrane (GBM) subendothelial space associated with a prominent GBM reflecting an increase in thickness. This feature can be associated with GBM remodeling along the endothelial aspect.,HP,HP:0033500,http://purl.obolibrary.org/obo/HP_0033500
13724,Subepithelial glomerular basement membrane electron dense deposits,"Prominent glomerular basement membrane (GBM) reflecting a diffuse and relativly uniform increase in thickness (subjective estimate) with exogenous material deposited between the outer (epithelial) aspect of the GBM and the visceral epithelial cell, with varying degrees of incorporation into the GBM.",HP,HP:0033501,http://purl.obolibrary.org/obo/HP_0033501
13725,Abnormal esterified to free carnitine ratio,"Any deviation from the normal ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",HP,HP:0033502,http://purl.obolibrary.org/obo/HP_0033502
13726,Elevated CSF fumarate,"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the cebrebrospinal fluid.",HP,HP:0033503,http://purl.obolibrary.org/obo/HP_0033503
13727,Elevated circulating fumarate concentration,"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the blood circulation.",HP,HP:0033504,http://purl.obolibrary.org/obo/HP_0033504
13728,Livedo reticularis,"Livedo reticularis is characterized by the presence of a bluish purple, mottled or netlike pattern in unbroken circles on the skin. Exposure to cold environments usually intensifies the vascular pattern. Presumably, the condition results from slow or stagnant blood flow, vessel-wall pathology, and decreased oxygen tension.",HP,HP:0033505,http://purl.obolibrary.org/obo/HP_0033505
13729,Increased esterified to free carnitine ratio,"An elevated ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",HP,HP:0033506,http://purl.obolibrary.org/obo/HP_0033506
13730,Decreased esterified to free carnitine ratio,"A reduced ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine.",HP,HP:0033507,http://purl.obolibrary.org/obo/HP_0033507
13731,EBV meningitis,Inflammation of the meninges related to infection by Epstein-Barr virus.,HP,HP:0033508,http://purl.obolibrary.org/obo/HP_0033508
13732,EBV encephalitis,Inflamation of the brain related to infection by Epstein-Barr virus.,HP,HP:0033509,http://purl.obolibrary.org/obo/HP_0033509
13733,Cutaneous horn,A cutaneous horn is a keratinized non-malignant protrusion on the surface of the skin. Diagnosis is established by biopsy of the horn and biopsy of the horn and the underlying skin.,HP,HP:0033510,http://purl.obolibrary.org/obo/HP_0033510
13734,Drug addiction,Chronic compulsive drug seeking and continued use despite harmful consequences.,HP,HP:0033511,http://purl.obolibrary.org/obo/HP_0033511
13735,Stimulant addiction,"Addiction to a stimulant drug, defined as a drug that typically increases alertness, attention and energy while also elevating blood pressure, heart rate and breathing.",HP,HP:0033512,http://purl.obolibrary.org/obo/HP_0033512
13736,Cocaine addiction,Addiction to cocaine.,HP,HP:0033513,http://purl.obolibrary.org/obo/HP_0033513
13737,Amphetamine addiction,Addiction to amphetamine or dextroamphetamine.,HP,HP:0033514,http://purl.obolibrary.org/obo/HP_0033514
13738,Opioid addiction,Addiction to opioids.,HP,HP:0033515,http://purl.obolibrary.org/obo/HP_0033515
13739,Benzodiazepine addiction,Addiction to a benzodiazepine.,HP,HP:0033516,http://purl.obolibrary.org/obo/HP_0033516
13740,Heroin addiction,Addiction to heroin.,HP,HP:0033517,http://purl.obolibrary.org/obo/HP_0033517
13741,Methylphenidate addiction,Addiction to methylphenidate.,HP,HP:0033518,http://purl.obolibrary.org/obo/HP_0033518
13742,Methamphetamine addiction,Addiction to methamphetamine.,HP,HP:0033519,http://purl.obolibrary.org/obo/HP_0033519
13743,Paradoxical embolism,"Paradoxical embolism describes the passage of a venous or right-sided cardiac thrombus into the arterial or systemic circulation.
Comment: Paradoxical embolism occurs most commonly through an intracardiac defect at the atrial level, but can also be due to another type of right-to-left-shunt, as for example in pulmonary arteriovenous malformations. Paradoxical embolism may lead to serious complications as ischemic stroke.",HP,HP:0033520,http://purl.obolibrary.org/obo/HP_0033520
13744,Nasal dryness,A lack of humidification of the nasal mucosa.,HP,HP:0033521,http://purl.obolibrary.org/obo/HP_0033521
13745,Cerebral cavernous malformation,"A cerebral cavernous malformation (also known as cavernoma, cavernous angioma, cavernous hemangioma) is a collection of structurally abnormal slow-flow capillaries predominantly in the central nervous system. These are multiple mulberry-like distended caverns of dilated thin-walled capillaries without the normal intervening brain parenchymal architecture. Often, individual cavernomas are surrounded by hemosiderin representing remote oozing due to the abnormal capillaries.",HP,HP:0033522,http://purl.obolibrary.org/obo/HP_0033522
13746,Abnormal sperm principal piece morphology,A structural anomaly of the part of the sperm flagellum that is distal to the sperm midpiece and mitochondrial sheath and which leads into the end piece.,HP,HP:0033523,http://purl.obolibrary.org/obo/HP_0033523
13747,Abnormal sperm axoneme morphology,"Abnormal structure of the sperm axonemal structure which consists of a ring of nine microtubular doublets and a central pair of microtubules, giving the classical 9+2 microtubular arrangement. The axoneme contains a central pair of microtubules (C1 and C2) that are connected by a bridge-like structure forming the central pair complex (CPC). Each of the nine outer doublets is composed of type A and B microtubules and connected by radial spokes to the CPC.",HP,HP:0033524,http://purl.obolibrary.org/obo/HP_0033524
13748,Absent sperm axoneme central pair complex,"Absense of the central pair of microtubules in the sperm axoneme, thereby forming a 9+0 pattern instead of the normal 9+2 pattern.",HP,HP:0033525,http://purl.obolibrary.org/obo/HP_0033525
13749,Limited ankle dorsiflexion,Reduced ability to move the foot up toward the shin.,HP,HP:0033526,http://purl.obolibrary.org/obo/HP_0033526
13750,Decreased gonadotropin-stimulated testosterone-to-androstenedione ratio,A reduced amount of testosterone relative in androstenedione in the blood circulation following administration of hCG (Human Chorionic Gonadotropin).,HP,HP:0033527,http://purl.obolibrary.org/obo/HP_0033527
13751,Abnormal cardiac output,"A deviation from normal Cardiac output, which is defined as the amount of blood pumped by the heart minute and is the mechanism whereby blood flows around the body, especially providing blood flow to the brain and other vital organs.",HP,HP:0033528,http://purl.obolibrary.org/obo/HP_0033528
13752,Abnormal cardiac index,"Any deviation from the normal value of the cardiac index, defined as cardiac output divided by body surface area.",HP,HP:0033529,http://purl.obolibrary.org/obo/HP_0033529
13753,Increased cardiac index,"An elevated cardiac index, defined as cardiac output divided by body surface area.",HP,HP:0033530,http://purl.obolibrary.org/obo/HP_0033530
13754,Decreased cardiac index,"A reduced cardiac index, defined as cardiac output divided by body surface area.",HP,HP:0033531,http://purl.obolibrary.org/obo/HP_0033531
13755,Decreased cardiac output,"A decreased volume of blood pumped by the left and right ventricle, per unit time. Cardiac output (CO) is the product of the heart rate (HR), i.e. the number of heartbeats per minute (bpm), and the stroke volume (SV), which is the volume of blood pumped from the ventricle per beat.",HP,HP:0033532,http://purl.obolibrary.org/obo/HP_0033532
13756,Increased cardiac output,"An increased volume of blood pumped by the left and right ventricle, per unit time. Cardiac output (CO) is the product of the heart rate (HR), i.e. the number of heartbeats per minute (bpm), and the stroke volume (SV), which is the volume of blood pumped from the ventricle per beat.",HP,HP:0033533,http://purl.obolibrary.org/obo/HP_0033533
13757,Increased circulating brain natriuretic peptide concentration,An increased concentration of brain natriuretic peptide in the blood circulation.,HP,HP:0033534,http://purl.obolibrary.org/obo/HP_0033534
13758,Reduced platelet dense granules,"Decreased number of platelet dense granules, a type of platelet organelle.",HP,HP:0033535,http://purl.obolibrary.org/obo/HP_0033535
13759,Reduced platelet alpha granules,A reduced number of platelet alpha granules.,HP,HP:0033536,http://purl.obolibrary.org/obo/HP_0033536
13760,Mosaic pulmonary attenuation pattern,Mosaic attenuation refers to heterogeneous areas of differing pulmonary attenuation on CT imaging.,HP,HP:0033537,http://purl.obolibrary.org/obo/HP_0033537
13761,Aortic annulus calcification,"Pathological deposition of calcium salts in the aortic annulus, a fibrous ring-like structure found at the insertion point of the basal attachments of the aortic valve leaflets within the left ventricular outflow tract.",HP,HP:0033538,http://purl.obolibrary.org/obo/HP_0033538
13762,Bilateral apical pulmonary fibrosis,A reticular pattern of linear or lineonodular densities in apical portions of both the right and left lungs seen initially on high-resolution computed tomography and in case of progression also on standard chest x-ray.,HP,HP:0033539,http://purl.obolibrary.org/obo/HP_0033539
13763,Reversible airflow obstruction,Airflow obstruction with a significant response to a bronchodilator defined as an increase in FEV1 and/or FVC by 12 percent or more and by at least 200 mL.,HP,HP:0033540,http://purl.obolibrary.org/obo/HP_0033540
13764,Irreversible airflow obstruction,Airflow obstruction without significant response to a bronchodilator defined as an increase in FEV1 and/or FVC by 12 percent or more and by at least 200 mL.,HP,HP:0033541,http://purl.obolibrary.org/obo/HP_0033541
13765,Bronchial wall thickening,"Radiological appearance of increased density around the walls of a bronchus or large bronchiole. This feature is thought to be related to edema involving the bronchial wall as well as the peribronchial interstitial space. If the cross section of a bronchus is captured in a radiograph or computed tomography image, it is said to have the appearance of a donut because of the central lucency representing the airway of the bronchus surrounded by a circular region of increased density.",HP,HP:0033542,http://purl.obolibrary.org/obo/HP_0033542
13766,Nicotine addiction,Nicotine addition can be defined as chronic compulsive nicotine seeking and continued use despite harmful consequences.,HP,HP:0033543,http://purl.obolibrary.org/obo/HP_0033543
13767,Mesangial fibril deposition,Extracellular mesangial accumulation of slender proteinaceous fibers.,HP,HP:0033544,http://purl.obolibrary.org/obo/HP_0033544
13768,Mesangial fibrillary deposits,"Extracellular mesangial aggregates composed of randomly arranged, straight, non-branching fibrils that are thicker than amyloid fibrils (average diameter about 20 nm) and are often admixed with smudgy, electron-dense material.",HP,HP:0033545,http://purl.obolibrary.org/obo/HP_0033545
13769,Mesangial microfibril deposition,"Unbranched noncollagenous microfibrils within the mesangial matrix, composed of proteins not present within the glomerular basement membrane (GBM), most notably fibrillin-1, that attach to mesangial cells and GBM structural proteins.",HP,HP:0033546,http://purl.obolibrary.org/obo/HP_0033546
13770,Mesangial immunotactoid deposits,"Extracellular mesangial aggregates composed of non-branching fibrils, focally parralel over 30 nM in diameter. The term immunotactoid refers to highly organized immune depositions appearing as rod-like microtubular structures in ultrastructural examination.",HP,HP:0033547,http://purl.obolibrary.org/obo/HP_0033547
13771,Mesangial amyloid deposition,"Extracellular mesangial aggregates composed of fine, randomly oriented, non-branching fibrils 8-12 nm in diameter, often forming a cottony mass.",HP,HP:0033548,http://purl.obolibrary.org/obo/HP_0033548
13772,Nodular mesangiosclerosis,"Lobular, round to oval mesangial lesions with an acellular hyaline/matrix core surrounded by compressed mesangial nuclei.",HP,HP:0033549,http://purl.obolibrary.org/obo/HP_0033549
13773,Necrotizing pulmonary granulomatosis,"A granuloma that is associated with necrotic changes. Caseation necrosis is defined as a region in granulomas with eosinophilic, granular and cheese-like cellular debris with necrosis. The word caseous itself means pertaining or related to cheese, and comes from the Latin word caseus, meaning cheese.",HP,HP:0033550,http://purl.obolibrary.org/obo/HP_0033550
13774,Non-necrotizing pulmonary granulomatosis,A granuloma located in the lung that is not associated with necrotic changes.,HP,HP:0033551,http://purl.obolibrary.org/obo/HP_0033551
13775,Chronic villitis,"Villitis of unknown etiology (synonymous with villitis of unknown aetiology) is a histologic diagnosis and, although it may have a variable distribution, evidence indicates that 3 parenchymal blocks will identify 62% of villitis, reaching an asymptote of 6 and 7 blocks identifying 85% of villitis. Villitis of unknown etiology by definition excludes those cases where an etiology is identified, such as viral or acute infections, and thus is preferred to the term nonspecific chronic villitis. It is usually lymphohistiocytic: although the presence of rare plasma cells does not exclude the diagnosis, thorough evaluation for an infectious etiology, such as cytomegalovirus, is required in a predominantly plasma cell villitis.",HP,HP:0033552,http://purl.obolibrary.org/obo/HP_0033552
13776,Septic embolism,Embolization of intravascular thrombus containing microorganisms into the distant tissues via arterial system.,HP,HP:0033553,http://purl.obolibrary.org/obo/HP_0033553
13777,Anti-Mi2 antibody positivity,The presence of autoantibodies in the blood circulation that react against the Mi-2 antigen.,HP,HP:0033554,http://purl.obolibrary.org/obo/HP_0033554
13778,Anti-Ro/SS-A antibody positivity,The presence of autoantibodies in the blood circulation that react against Ro/SSA autoantigens.,HP,HP:0033555,http://purl.obolibrary.org/obo/HP_0033555
13779,Anti-nucleoporin 62 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against nucleoporin 62.,HP,HP:0033556,http://purl.obolibrary.org/obo/HP_0033556
13780,Anti-proteinase 3 antibody positivity,The presence of autoantibodies in the blood circulation that react against proteinase 3. Proteinase 3 (PR3) antigen is a 29-kD serine protease that exists as a protein triplet in human neutrophils,HP,HP:0033557,http://purl.obolibrary.org/obo/HP_0033557
13781,Anti-histone antibody positivity,The presence of autoantibodies in the blood circulation that react against histone antigens.,HP,HP:0033558,http://purl.obolibrary.org/obo/HP_0033558
13782,Anti-myeloperoxidase antibody positivity,The presence of autoantibodies in the blood circulation that react against myeloperoxidase.,HP,HP:0033559,http://purl.obolibrary.org/obo/HP_0033559
13783,Anti-PM-Scl antibody positivity,"Anti-PM-Scl antibodies target components of RNA-processing exosome complex in the nucleolus. There are ten proteins in this complex and antibodies to eight of them are found at varying frequencies; PM/Scl-100, PM/Scl-75, hRrp4, hRrp42, hRrp46, hCs14, hRrp41, and hRrp40.",HP,HP:0033560,http://purl.obolibrary.org/obo/HP_0033560
13784,Anti-bactericidal/permeability-increasing protein antibody positivity,"The presence of autoantibodies in the blood circulation that react against bactericidal/permeability-increasing protein (BPI). BPI is an endotoxin-binding host protein with important antibacterial effects against Gram-negative bacteria, such as Pseudomonas aeruginosa. 
BPI is a 55 kDalton protein that is most abundant in the azurophilic granules of neutrophils. BPI also acts as a target antigen for antineutrophil cytoplasmic autoantibodies.",HP,HP:0033561,http://purl.obolibrary.org/obo/HP_0033561
13785,Anti-glycoprotein-210 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against glycoprotein-210.,HP,HP:0033562,http://purl.obolibrary.org/obo/HP_0033562
13786,Anti-tissue transglutaminase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against tissue transglutaminase.,HP,HP:0033563,http://purl.obolibrary.org/obo/HP_0033563
13787,Stasis dermatitis,"Stasis dermatitis commonly occurs in older age. It is caused by venous hypertension resulting from retrograde flow due to incompetent venous valves, valve destruction, or obstruction of the venous system. Further tissue changes arise from an inflammatory process mediated by metalloproteinases, which are up-regulated by ferric ion from extravasated red blood cells. Stasis dermatitis presents initially as poorly demarcated erythematous plaques of the lower legs bilaterally, classically involving the medial malleolus.",HP,HP:0033564,http://purl.obolibrary.org/obo/HP_0033564
13788,Anti-epidermal transglutaminase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against epidermal transglutaminase.,HP,HP:0033565,http://purl.obolibrary.org/obo/HP_0033565
13789,Abnormal ventricular axis,"Any deviation from the normal direction of the ventricular axis. The left ventricle makes up most of the heart muscle under normal circumstances and therefore generates the most electrical force visible on the EKG. The normal ventricular axis is directed downward and slightly towards the left. The ventricular axis can be determined by analyzing the QRS complex, which represents ventricular depolarization.",HP,HP:0033566,http://purl.obolibrary.org/obo/HP_0033566
13790,Right axis deviation,"A kind of abnormal ventricular axis in the EKG whereby the QRS axis falls between +90 degrees and 180 degrees, or beyond +100 degrees if the adult range is used.",HP,HP:0033567,http://purl.obolibrary.org/obo/HP_0033567
13791,Left axis deviation,A kind of abnormal ventricular axis in the EKG whereby the QRS axis falls between -30 degrees and -90 degrees.,HP,HP:0033568,http://purl.obolibrary.org/obo/HP_0033568
13792,Extreme axis deviation,"A kind of abnormal ventricular axis in the EKG whereby the QRS axis fall sbetween -90 degrees and 180 degrees. In this case, the ventricular vector is directed upward and to the right.",HP,HP:0033569,http://purl.obolibrary.org/obo/HP_0033569
13793,Indeterminate ventricular axis,A kind of abnormal ventricular axis in the EKG whereby the QRS complex is isoelectric or equiphasic in all leads with no dominant QRS deflection.,HP,HP:0033570,http://purl.obolibrary.org/obo/HP_0033570
13794,Peripheral lung neovascularity,"The presence of small, tortuous, micronodular, serpiginous intrapulmonary vessels often in the subpleural lung or in proximity to centrilobular arterioles, coursing in directions inconsistent with known arteriolar anatomy.",HP,HP:0033571,http://purl.obolibrary.org/obo/HP_0033571
13795,Anti-H1 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H1.,HP,HP:0033572,http://purl.obolibrary.org/obo/HP_0033572
13796,Anti-H4 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H4.,HP,HP:0033573,http://purl.obolibrary.org/obo/HP_0033573
13797,Anti-H3 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H3.,HP,HP:0033574,http://purl.obolibrary.org/obo/HP_0033574
13798,Anti-H2A antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H2A.,HP,HP:0033575,http://purl.obolibrary.org/obo/HP_0033575
13799,Anti-H2B antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H2B.,HP,HP:0033576,http://purl.obolibrary.org/obo/HP_0033576
13800,In situ pulmonary artery thrombosis,Localized thrombosis in pulmonary arteries frequently found in patients with idiopathic and hereditary pulmonary arterial hypertension and pulmonary arterial hypertension associated with congenital heart disease.,HP,HP:0033577,http://purl.obolibrary.org/obo/HP_0033577
13801,Pre-capillary pulmonary hypertension,Pre-capillary pulmonary hypertension is a haemodynamic condition characterised by elevated mean pulmonary artery pressure (mPAP over 20 mmHg) and pulmonary vascular resistance (PVR 3 Wood units or more) accompanied by normal pulmonary artery wedge pressure (PAWP not more than 15 mmHg).,HP,HP:0033578,http://purl.obolibrary.org/obo/HP_0033578
13802,Decreased growth hormone responses to growth hormone-releasing hormone challenge,Insufficient growth hormone secretion following administration of growth hormone-releasing hormone.,HP,HP:0033579,http://purl.obolibrary.org/obo/HP_0033579
13803,Compound motor action potential abnormality,An abnormal finding in a compound motor action potential measurement in EMG. Nerve conduction studies involve the application of a depolarising square wave electrical pulses to the skin over a peripheral nerve producing: (1) a propagated nerve action potential (NAP) recorded at a distant point over the same nerve: and (2) a compound muscle action potential (CMAP) arising from the activation of muscle fibres in a target muscle supplied by the nerve. In both cases these may be recorded with surface or needle electrodes. The CMAP is a summated voltage response from the individual muscle fibre action potentials. The shortest latency of the CMAP is the time from stimulus artefact to onset of the response and is a biphasic response with an initial upward deflection followed by a smaller downward deflection. The CMAP amplitude is measured from baseline to negative peak (the neurophysiological convention is that negative voltage is demonstrated by an upward deflection) and measured in millivolts (mV).,HP,HP:0033580,http://purl.obolibrary.org/obo/HP_0033580
13804,Absent peripheral lymph nodes in presence of infection,The absence of any palpable lymph nodes in the presence of symptoms suggesting infection in that drainage area should raise suspicion for immunodeficiency diseases.,HP,HP:0033581,http://purl.obolibrary.org/obo/HP_0033581
13805,Pulmonary interstitial lymphocyte infiltration,Abnormal accumulation of lymphocytes in the interstitium of the lung.,HP,HP:0033582,http://purl.obolibrary.org/obo/HP_0033582
13806,Follicular bronchiolitis,Follicular bronchiolitis is a polyclonal hyperplasia of bronchiolar associated lymphoid tissue characterized by the is characterized by the development of lymphoid follicles with germinal centers in walls of the small airways.,HP,HP:0033583,http://purl.obolibrary.org/obo/HP_0033583
13807,Nonspecific interstitial pneumonia,"Temporally uniform (all lesions are in the same stage of evolution) pattern of diffuse inflammatory interstitial process, mostly symmetric over the entire lung, involving mainly the alveolar septa.",HP,HP:0033584,http://purl.obolibrary.org/obo/HP_0033584
13808,Fibrotic non-specific interstitial pneumonia,A type of non-specific interstitial pneumonia in which interstitial thickening is due to uniform dense or loose fibrosis and mild chronic inflammation.,HP,HP:0033585,http://purl.obolibrary.org/obo/HP_0033585
13809,Cellular non-specific interstitial pneumonia,A type of non-specific interstitial pneumonia in which interstitial thickening is mainly due to infiltration of inflammatory cells and type II pneumocyte hyperplasia.,HP,HP:0033586,http://purl.obolibrary.org/obo/HP_0033586
13810,Vulvar abscess,A circumscribed area of pus or necrotic debris in the vulvar region.,HP,HP:0033587,http://purl.obolibrary.org/obo/HP_0033587
13811,Labial adhesion,Synechia vulvae (adhesions of the labia minora) are characterized by a complete or partial fusion of the labia minora in the midline.,HP,HP:0033588,http://purl.obolibrary.org/obo/HP_0033588
13812,Flatulence,Passage of excessive amounts of gas and the feeling of abdominal fullness and bloating.,HP,HP:0033589,http://purl.obolibrary.org/obo/HP_0033589
13813,Inguinal abscess,A circumscribed area of pus or necrotic debris in the groin (inguinal region).,HP,HP:0033590,http://purl.obolibrary.org/obo/HP_0033590
13814,Staghorn calculus,Large branching stones that fill part of all of the renal pelvis and renal calyces and they can be complete or partial depending on the level of occupancy of the collecting system.,HP,HP:0033591,http://purl.obolibrary.org/obo/HP_0033591
13815,Anti-H3-H4 antibody positivity,The presence of autoantibodies in the blood circulation that react against the H3-H4 histone dimer.,HP,HP:0033592,http://purl.obolibrary.org/obo/HP_0033592
13816,Anti-H2A-H2B antibody positivity,The presence of autoantibodies in the blood circulation that react against the H2A-H2B histone dimer.,HP,HP:0033593,http://purl.obolibrary.org/obo/HP_0033593
13817,Elevated urinary 7-biopterin level,An abnormally increased amount of 7-biopterin in the urine.,HP,HP:0033594,http://purl.obolibrary.org/obo/HP_0033594
